keyword,search_volume,difficulty,intent,template,status
best electric toothbrush 2026,40500,medium,commercial,product-review,written
teeth whitening at home,33100,medium,informational,how-to-guide,written
foods bad for teeth,22200,low,informational,listicle,written
how to get rid of bad breath,27100,medium,informational,how-to-guide,written
water flosser vs floss,18100,low,informational,how-to-guide,written
best whitening strips,14800,medium,commercial,product-review,todo
how to brush teeth properly,12100,low,informational,how-to-guide,todo
best mouthwash for bad breath,9900,medium,commercial,product-review,todo
sensitive teeth remedies,8100,low,informational,how-to-guide,todo
how often should you go to dentist,6600,low,informational,how-to-guide,todo
best toothpaste for cavities,5400,medium,commercial,product-review,todo
gum disease symptoms,4400,low,informational,listicle,todo
how to floss properly,3600,low,informational,how-to-guide,todo
best water flosser 2026,3200,medium,commercial,product-review,todo
teeth whitening strips vs kit,2900,low,informational,how-to-guide,todo
oil pulling benefits teeth,2400,low,informational,how-to-guide,todo
best toothbrush for braces,2100,medium,commercial,product-review,todo
how to prevent cavities,1900,low,informational,how-to-guide,todo
charcoal toothpaste safe,1800,low,informational,how-to-guide,todo
wisdom teeth removal recovery,1600,low,informational,how-to-guide,todo
dental implant cost guide,1400,medium,informational,how-to-guide,todo
best kids toothbrush,1200,low,commercial,product-review,todo
fluoride toothpaste benefits,1100,low,informational,how-to-guide,todo
receding gums treatment,900,low,informational,how-to-guide,todo
best tongue scraper,800,low,commercial,product-review,todo
